field,missing_reason,vacancy_count
area_id,not_provided_by_source,999
area_name,present,999
description,present,999
employer,present,999
employer_id,not_provided_by_source,999
employer_name,present,999
employer_type,not_provided_by_source,999
employment,not_provided_by_source,999
experience,not_provided_by_source,999
federal_district,not_resolved_from_area_catalog,999
federal_subject,not_resolved_from_area_catalog,999
geography,present,999
industries,not_provided_by_source,999
key_skills,not_provided_by_source,999
locality,not_resolved_from_area_catalog,999
published_at,present,999
salary_currency,not_provided_by_source,999
salary_frequency,not_provided_by_source,999
salary_from,not_provided_by_source,999
salary_gross,not_provided_by_source,999
salary_to,not_provided_by_source,999
schedule,not_provided_by_source,999
work_format,not_provided_by_source,999
