skill_a,skill_b,vacancy_count
взаимодействие с военным комиссариатом,воинский учет,36
воинский учет,специальный воинский учет,21
"бронирование граждан, пребывающих в запасе",воинский учет,14
воинский учет,сверка данных воинского учета,6
воинский учет,мобилизационная подготовка,5
гражданская оборона,защита от чрезвычайных ситуаций,4
"бронирование граждан, пребывающих в запасе",взаимодействие с военным комиссариатом,2
"бронирование граждан, пребывающих в запасе",мобилизационная подготовка,2
"бронирование граждан, пребывающих в запасе",специальный воинский учет,2
воинский учет,мобилизационное планирование,2
"бронирование граждан, пребывающих в запасе",сверка данных воинского учета,1
взаимодействие с военным комиссариатом,мобилизационная подготовка,1
взаимодействие с военным комиссариатом,отчетность по воинскому учету,1
взаимодействие с военным комиссариатом,сверка данных воинского учета,1
воинский учет,отчетность по воинскому учету,1
гражданская оборона,мобилизационное планирование,1
